subno	helpful	reliant	defbel	yielding	cheerful	indpt	athlet	shy	assert	strpers	forceful	affect	flatter	loyal	analyt	feminine	sympathy	moody	sensitiv	undstand	compass	leaderab	soothe	risk	decide	selfsuff	conscien	dominant	masculin	stand	happy	softspok	warm	truthful	tender	gullible	leadact	childlik	individ	foullang	lovchil	compete	ambitiou	gentle
523	6	3	6	6	2	2	1	5	2	2	2	6	5	6	6	7	7	6	6	5	7	2	7	3	1	3	7	2	1	5	4	6	7	6	6	6	1	5	6	4	7	6	6	7
527	5	3	5	5	5	6	4	3	5	5	3	3	3	5	3	6	5	4	5	5	6	4	5	4	6	7	5	4	1	4	5	7	5	7	6	4	1	1	4	4	5	7	5	7
528	6	7	3	6	5	6	5	5	3	4	3	4	3	6	5	3	3	3	3	3	3	3	3	2	3	6	6	4	2	3	7	5	4	6	4	5	1	3	6	4	4	6	6	5
529	7	7	7	7	7	7	1	3	7	3	2	7	1	7	3	7	7	6	7	6	7	6	7	3	6	4	7	7	1	6	5	6	7	6	7	7	4	2	7	7	7	3	5	7
530	5	5	5	6	6	5	4	3	5	4	1	6	5	6	7	5	6	3	6	6	6	5	6	3	1	6	6	4	1	3	6	4	5	7	5	6	3	3	3	2	6	3	4	6
533	6	6	7	2	6	7	4	2	5	7	7	3	2	6	7	5	6	5	7	3	5	7	2	7	1	6	7	6	2	6	5	5	5	6	4	1	6	6	7	4	7	2	6	6
534	4	3	5	5	4	3	1	4	4	5	3	5	4	4	3	3	4	5	4	3	4	2	4	3	3	4	4	4	2	3	3	2	3	5	4	2	2	2	3	1	6	3	4	3
535	5	9	1	6	9	6	1	7	2	3	2	5	3	7	3	3	4	3	6	5	5	3	5	4	3	4	4	1	1	2	5	2	5	6	5	7	3	1	3	2	6	4	4	4
536	6	6	6	5	6	6	5	2	6	6	4	6	3	6	6	6	6	1	6	7	6	5	6	5	5	6	6	4	1	6	6	6	6	6	6	3	5	3	6	3	6	4	5	6
538	4	7	5	7	7	7	1	4	4	3	1	5	5	7	5	7	7	1	7	7	7	4	7	5	4	7	7	1	1	5	7	7	7	5	7	5	3	1	3	3	7	5	3	7
539	7	7	7	4	7	7	5	2	6	6	6	7	4	7	7	6	7	2	6	7	7	6	7	6	6	6	7	6	1	7	7	4	6	6	6	3	5	4	6	2	6	7	7	6
540	5	6	7	4	5	7	3	5	5	5	5	7	2	7	7	6	7	7	6	6	6	4	6	7	7	7	6	7	1	7	5	3	5	7	6	7	5	3	6	7	4	1	7	6
547	6	7	6	4	6	6	5	3	5	5	4	6	5	7	4	5	7	4	7	7	6	5	5	5	5	6	7	5	1	5	6	4	5	6	5	7	6	2	5	6	5	5	6	5
549	5	6	4	3	5	6	2	2	4	3	2	6	5	5	6	5	6	4	6	6	6	4	6	2	2	4	6	1	1	4	5	5	5	6	4	4	3	4	4	2	5	2	2	4
550	4	6	7	6	7	2	4	2	2	1	1	6	6	7	2	7	6	2	6	5	6	2	6	3	5	6	6	1	1	4	7	6	6	7	6	4	3	3	7	2	7	5	5	7
551	6	6	6	4	7	5	2	4	6	4	4	6	5	7	7	4	6	1	5	6	5	4	4	3	4	5	7	4	2	6	5	5	6	7	6	2	4	1	7	7	6	4	7	5
552	7	7	6	4	6	6	3	3	3	3	2	6	3	6	3	6	6	2	6	6	6	5	6	2	2	5	6	2	1	4	2	6	6	6	6	6	6	1	6	6	7	2	3	6
553	5	6	5	4	7	7	3	4	4	5	4	5	4	5	3	6	5	4	5	4	4	4	5	5	4	5	5	3	1	3	5	4	5	4	4	4	3	2	6	6	5	4	5	4
554	7	6	7	3	5	7	3	3	6	7	6	4	5	7	7	4	7	3	7	7	7	6	7	4	6	6	7	6	3	7	5	4	4	6	3	2	5	1	7	2	7	4	3	3
555	5	7	5	4	6	5	2	3	5	5	4	5	4	7	5	6	5	4	5	5	5	5	5	5	5	6	6	5	1	5	5	4	5	6	5	4	5	4	3	3	7	4	5	5
556	6	5	7	4	7	6	2	2	5	4	5	6	6	7	7	7	6	2	5	5	6	4	5	4	5	6	7	5	1	6	6	6	6	6	5	4	4	1	5	7	7	5	5	7
557	6	5	3	6	6	5	6	5	3	4	4	6	6	7	7	6	6	4	5	6	6	4	7	4	3	5	5	1	1	5	7	6	5	6	6	6	4	4	5	7	6	5	5	6
558	6	4	5	5	6	3	6	3	4	3	4	6	5	7	4	5	6	1	6	6	6	4	6	5	4	4	6	4	1	4	7	7	7	7	7	7	4	1	5	3	7	6	7	7
559	6	6	7	5	6	5	5	5	6	5	5	6	6	7	6	6	5	4	5	5	5	5	7	4	6	6	6	5	2	5	6	5	5	6	6	5	5	4	5	4	7	5	5	5
560	4	6	6	4	5	6	1	2	5	5	4	3	4	3	5	6	6	3	6	6	6	2	5	6	4	5	7	4	1	5	3	5	4	7	4	2	1	2	5	6	1	3	4	5
567	7	3	7	5	6	2	5	4	3	4	3	7	2	7	1	4	5	3	6	5	7	3	7	2	2	3	7	3	1	5	7	5	6	7	6	4	3	3	4	6	7	4	2	6
569	6	7	6	4	6	5	2	4	5	5	3	7	6	7	3	7	7	4	7	6	6	5	7	5	6	5	6	4	1	5	6	5	7	7	7	4	5	3	5	6	6	6	7	6
570	7	7	7	4	7	7	1	1	7	7	3	7	7	7	7	5	7	6	6	6	5	3	7	6	3	7	7	2	1	7	5	4	5	7	7	3	2	3	5	4	7	7	7	7
571	7	7	5	6	7	6	7	3	3	5	2	6	6	7	6	6	4	4	7	6	6	7	7	5	3	7	6	4	2	6	7	4	6	6	7	6	6	3	5	6	7	4	6	5
572	5	7	4	2	4	7	1	7	2	4	1	5	5	6	6	4	6	5	5	5	5	6	4	2	2	7	7	7	1	3	4	7	4	6	4	2	5	4	6	6	5	4	4	5
573	6	7	6	3	4	6	5	1	6	5	5	5	3	6	7	6	5	3	5	5	6	7	5	4	5	6	6	5	2	6	4	4	5	7	6	2	7	2	6	4	6	4	5	6
576	7	6	6	5	6	7	7	3	6	7	6	6	5	6	6	6	6	2	4	5	5	7	7	6	6	6	6	7	1	5	5	5	6	6	6	6	7	2	6	6	7	7	7	6
577	6	5	3	5	6	6	6	1	5	4	2	6	6	6	3	6	6	5	5	5	5	4	6	6	4	5	5	3	1	4	6	3	4	6	4	5	4	4	5	4	6	5	5	5
578	6	4	7	5	4	7	4	1	3	7	2	5	2	7	5	6	4	7	7	5	6	7	4	7	7	6	6	7	1	7	4	4	5	7	5	1	7	1	6	1	7	7	7	4
579	6	5	5	3	6	7	1	6	3	5	1	6	5	7	4	6	7	2	7	6	6	4	7	2	3	6	6	2	1	2	6	3	6	7	5	3	3	2	5	6	3	4	4	6
581	5	5	7	4	5	5	4	7	3	6	6	7	6	7	5	5	7	4	5	6	6	4	5	4	4	5	6	5	1	5	7	5	5	6	5	4	4	2	4	4	7	5	6	5
582	4	1	1	3	5	5	3	3	7	5	7	7	2	7	6	5	1	4	1	4	5	1	4	3	7	7	5	3	2	6	7	2	7	7	6	7	3	3	4	7	7	7	5	7
583	4	5	4	5	6	4	2	2	4	4	4	6	4	7	5	7	6	1	7	7	7	5	5	2	4	4	5	3	1	4	7	6	6	6	5	4	4	3	4	6	3	3	6	6
587	6	6	7	6	5	6	4	1	1	1	3	1	1	1	2	7	7	4	7	7	7	6	5	4	6	7	7	4	1	6	7	5	5	5	5	3	4	3	7	3	7	6	7	7
588	7	7	1	4	6	6	5	1	1	5	2	6	4	7	6	6	5	1	6	6	5	5	7	1	1	6	7	1	1	5	7	6	6	7	6	2	3	1	6	2	7	4	6	7
589	6	5	5	5	5	5	3	3	4	3	4	5	4	6	5	4	5	1	4	4	4	4	4	4	4	4	4	4	1	4	6	4	4	7	6	5	5	3	5	2	6	4	6	5
590	6	7	6	6	6	7	3	3	3	9	4	7	7	7	4	7	6	2	5	5	6	1	3	4	6	7	5	2	1	4	6	6	6	7	6	4	3	1	7	1	6	4	5	6
591	6	5	4	6	6	4	5	2	2	6	2	7	6	7	3	7	7	3	6	7	6	5	6	3	2	3	6	4	2	5	6	6	6	7	5	4	5	3	6	6	6	2	5	6
592	6	6	6	4	6	6	3	5	5	5	5	6	6	6	6	6	5	4	5	5	5	4	4	3	4	5	5	4	2	3	6	5	5	6	5	3	5	2	6	5	7	4	4	4
683	7	7	7	6	6	7	2	3	3	3	1	6	6	7	7	5	4	3	4	6	6	1	3	2	6	6	6	1	1	6	6	7	6	6	7	1	1	1	6	2	6	2	6	6
685	7	6	3	4	5	6	3	1	5	5	4	5	3	6	3	3	4	2	5	5	5	4	5	3	6	6	6	4	4	4	6	2	5	6	4	4	6	2	5	3	6	3	3	3
686	5	6	4	6	5	4	3	4	4	7	4	7	7	6	4	7	7	5	5	5	7	7	7	3	3	5	5	5	1	4	4	6	7	6	6	7	7	3	4	2	4	5	5	5
687	6	7	6	5	6	7	3	4	6	6	6	7	3	7	5	6	7	3	6	7	7	3	7	5	4	7	6	4	1	5	6	6	6	7	7	4	4	2	5	6	6	3	5	7
688	3	6	5	5	5	6	3	5	3	2	2	2	2	5	4	3	5	4	4	5	4	2	5	3	5	5	5	4	2	4	4	5	3	6	2	2	2	3	2	6	6	2	2	4
689	6	7	5	4	7	7	7	2	5	6	6	7	7	7	3	7	5	4	5	5	5	7	6	3	6	7	7	7	4	6	7	2	6	6	6	3	7	2	5	6	7	5	5	6
690	6	3	7	3	6	5	2	3	3	4	3	7	4	7	6	7	7	3	7	7	7	2	6	3	3	4	6	3	1	5	5	6	6	6	7	7	3	4	3	2	7	2	2	6
691	7	6	5	5	5	5	5	2	5	5	2	6	5	5	5	5	5	2	5	4	4	4	4	5	4	5	6	4	2	6	6	4	6	5	5	4	5	2	6	2	6	6	6	5
706	7	6	7	3	7	4	2	4	4	2	1	6	4	7	7	7	7	5	7	7	7	3	7	2	7	7	7	1	1	5	7	7	7	7	5	1	2	1	1	2	7	5	4	7
707	6	7	7	6	6	6	1	1	6	6	5	6	4	7	5	6	5	1	4	6	4	7	7	5	5	7	7	2	1	7	7	4	5	7	5	6	6	2	5	3	7	1	7	6
708	3	1	1	6	6	1	1	5	1	3	1	6	3	6	6	7	6	2	5	7	6	1	7	7	2	1	6	1	1	6	6	6	6	7	6	6	1	4	3	7	7	1	4	7
709	7	7	6	6	7	7	6	1	6	6	5	7	5	7	7	7	7	1	7	7	7	6	6	6	4	7	7	4	1	6	6	6	7	7	7	3	6	2	7	7	7	4	6	7
710	4	6	5	6	6	6	2	2	4	4	4	4	4	5	6	6	5	1	5	5	4	3	3	1	3	6	6	4	1	5	5	6	4	7	4	2	3	1	6	6	5	2	2	4
711	7	6	7	3	6	7	1	2	6	5	4	6	2	7	6	6	6	1	6	6	6	5	5	3	5	7	7	3	1	6	6	6	6	7	6	3	4	1	2	6	3	2	2	6
717	7	6	7	5	7	6	3	3	4	4	2	7	4	7	6	5	6	3	7	7	7	4	6	2	4	5	7	2	1	6	6	6	6	7	6	3	5	2	5	4	7	3	2	6
724	7	4	7	4	4	7	3	1	5	6	4	7	5	7	7	7	7	5	7	7	7	3	7	5	4	5	7	4	1	4	4	6	4	7	4	1	3	1	7	7	7	3	6	4
754	7	6	6	6	7	6	7	4	5	5	4	7	6	7	6	7	6	4	5	6	5	7	6	6	6	6	6	3	1	6	7	4	6	7	7	3	5	2	5	4	6	5	7	6
755	7	7	5	7	7	7	7	2	1	3	1	7	9	7	7	7	7	1	7	7	6	3	7	7	7	7	7	1	1	7	7	7	7	7	7	1	2	1	5	7	7	7	7	7
756	7	6	7	6	7	7	4	1	7	7	2	7	6	7	7	7	7	4	7	6	7	7	7	6	6	7	7	7	1	6	7	5	7	7	6	3	7	1	7	2	6	3	7	6
757	3	5	3	4	5	5	1	2	4	4	5	6	7	7	4	7	6	4	5	5	4	1	6	2	3	5	5	4	1	4	6	6	6	7	5	6	1	2	5	5	6	2	4	5
758	6	3	7	7	5	4	1	3	1	1	1	7	7	7	6	7	7	4	6	6	6	2	7	2	4	6	7	3	1	4	5	6	7	7	7	2	4	1	5	3	5	1	1	5
