                                                           The SAS System                        16:35 Friday, February 11, 2011   1

                                                   Obs      y        x       z
                                                   1407    1.9    -0.3    1529.62
                                                   1408    1.9    -0.2    1452.42
                                                   1409    1.9    -0.1    1377.22
                                                   1410    1.9    -0.0    1304.02
                                                   1411    1.9     0.1    1232.82
                                                   1412    1.9     0.2    1163.62
                                                   1413    1.9     0.3    1096.42
                                                   1414    1.9     0.4    1031.22
                                                   1415    1.9     0.5     968.02
                                                   1416    1.9     0.6     906.82
                                                   1417    1.9     0.7     847.62
                                                   1418    1.9     0.8     790.42
                                                   1419    1.9     0.9     735.22
                                                   1420    1.9     1.0     682.02
                                                   1421    1.9     1.1     630.82
                                                   1422    1.9     1.2     581.62
                                                   1423    1.9     1.3     534.42
                                                   1424    1.9     1.4     489.22
                                                   1425    1.9     1.5     446.02
                                                   1426    1.9     1.6     404.82
                                                   1427    1.9     1.7     365.62
                                                   1428    1.9     1.8     328.42
                                                   1429    1.9     1.9     293.22
                                                   1430    1.9     2.0     260.02
                                                   1431    1.9     2.1     228.82
                                                   1432    1.9     2.2     199.62
                                                   1433    1.9     2.3     172.42
                                                   1434    1.9     2.4     147.22
                                                   1435    1.9     2.5     124.02
                                                   1436    1.9     2.6     102.82
                                                   1437    1.9     2.7      83.62
                                                   1438    1.9     2.8      66.42
                                                   1439    1.9     2.9      51.22
                                                   1440    1.9     3.0      38.02
                                                   1441    2.0    -0.5    2026.00
                                                   1442    2.0    -0.4    1937.00
                                                   1443    2.0    -0.3    1850.00
                                                   1444    2.0    -0.2    1765.00
                                                   1445    2.0    -0.1    1682.00
                                                   1446    2.0    -0.0    1601.00
                                                   1447    2.0     0.1    1522.00
                                                   1448    2.0     0.2    1445.00
                                                   1449    2.0     0.3    1370.00
                                                   1450    2.0     0.4    1297.00
                                                   1451    2.0     0.5    1226.00
                                                   1452    2.0     0.6    1157.00
                                                   1453    2.0     0.7    1090.00
                                                   1454    2.0     0.8    1025.00
                                                   1455    2.0     0.9     962.00
                                                   1456    2.0     1.0     901.00
                                                           The SAS System                        16:35 Friday, February 11, 2011  27

                                                       Obs    y     x      z

                                                      1457    2    1.1    842
                                                      1458    2    1.2    785
                                                      1459    2    1.3    730
                                                      1460    2    1.4    677
                                                      1461    2    1.5    626
                                                      1462    2    1.6    577
                                                      1463    2    1.7    530
                                                      1464    2    1.8    485
                                                      1465    2    1.9    442
                                                      1466    2    2.0    401
                                                      1467    2    2.1    362
                                                      1468    2    2.2    325
                                                      1469    2    2.3    290
                                                      1470    2    2.4    257
                                                      1471    2    2.5    226
                                                      1472    2    2.6    197
                                                      1473    2    2.7    170
                                                      1474    2    2.8    145
                                                      1475    2    2.9    122
                                                      1476    2    3.0    101
